's	?:ин
unequivocal	?:однозначный
unequivocally	?:без экивоков
unerring	?:безоши́бочный
unesco	?:ЮНЕСКО
uneven	?:неровный
unevenly	?:неро́вно
uneventful	?:непримеча́тельный
unevolutionary	?:неэволюцио́нный
unexampled	?:бесприме́рный
unexpected	?:неожи́данный
unexpectedly	?:неожи́данно
unexplained	?:необъяснённый
unexploded	?:невзорва́вшийся
unfair	?:несправедли́вый
unfairness	?:несправедли́вость
unfaithful	?:неве́рный
unfaithfulness	?:неве́рность
unfamiliar	?:незнако́мый
unfashionable	?:немо́дный
unfasten	?:развя́зывать
unfathomable	?:бездо́нный
unfavourable	?:неблагоприя́тный
unfeeling	?:бессерде́чный
unfettered	?:освобождённый
unfinished	?:недоко́нченный
unflappable	?:невозмути́мый
unfledged	?:неоперившийся
unfold	?:разверну́ть
unforeseeable	?:непредви́денный
unforeseen	?:непредви́денный
unforested	?:безлесный
unforgettable	?:незабве́нный
unforgivable	?:непрости́тельный
unfortunate	?:невезучий
unfortunately	?:к несча́стью
unfounded	?:безоснова́тельный
unfriend	?:отфре́ндить
unfriendly	?:недру́жественный
unfruitful	?:беспло́дный
unfulfilled	?:невы́полненный
unfurl	?:развора́чивать
ungainly	?:неуклюжий
ungheni	?:Унгены
ungodly	?:неве́рующий
ungrammatical	?:негра́мотный
ungrateful	?:неблагодарный
ungual	?:ногтево́й
ungulate	?:копы́тный
unguligrade	?:копы́тные
unhappiness	?:несча́стье
unhappy	?:гру́стный
unharmed	?:невреди́мый
unhealthiness	?:боле́зненность
unhealthy	?:вре́дный
unheard	?:неслы́шимый
unheard-of	?:неслы́ханный
unheralded	?:необъявленный
unhindered	?:беспрепя́тственный
unhinge	?:[[снима́ть]] с [[петля|пете́ль]]
unhinged	?:свихну́вшийся
unholy	?:порочный
unhoped-for	?:неожи́данный
unhurried	?:неторопли́вый
unhurriedly	?:не спеша́
unhygienic	?:негигиеничный
uni	?:у́ни
uni-	?:одно-
unibrow	?:монобровь
unicameral	?:однопала́тный
unicameralism	?:однопала́тность
unicef	?:ЮНИСЕ́Ф
unicellular	?:однокле́точный
unicode	?:Унико́д
unicolored	?:однотонный
unicorn	?:единорог
unicycle	?:моноци́кл
unidentified	?:неопо́знанный
unidirectional	?:однонапра́вленный
unification	?:объедине́ние
uniform	?:форма
uniformity	?:единообра́зие
unify	?:объедини́ть
unilateral	?:односторонний
unilaterally	?:односторо́нне
unimaginable	?:невообразимый
unimpeded	?:беспрепя́тственный
unimportant	?:неважный
uninhabitable	?:нежило́й
uninhabited	?:ненаселённый
uninstall	?:удали́ть
unintelligible	?:невразуми́тельный
unintentionally	?:непреднаме́ренно
uninteresting	?:неинтере́сный
uninterruptedly	?:беспреры́вно
unintuitive	?:неинтуити́вный
uninvited	?:неприглашённый
union	?:союз
unipolarity	?:однополя́рность
unique	?:еди́нственный
uniqueness	?:еди́нственность
unironic	?:неирони́чный
unironically	?:неирони́чно
unisex	?:унисе́кс
unisexual	?:однопо́лый
unison	?:унисо́н
unit	?:единица
unitarian	?:унитарист
unitary	?:едини́чный
unite	?:объедини́ть
united	?:объединённый
unitive	?:объединять
unity	?:еди́нство
univalve	?:одноство́рчатый
univerbation	?:универба́ция
universal	?:универсальный
universality	?:всемирность
universe	?:мир
universiade	?:Универсиа́да
university	?:университет
unix	?:Ю́никс
unjust	?:несправедли́вый
unjustifiable	?:непрости́тельный
unjustified	?:неопра́вданный
unjustly	?:несправедли́во
unkempt	?:взъеро́шенный
unknowable	?:непостижимое
unknowingly	?:бессозна́тельно
unknown	?:неве́домый
unlawful	?:незако́нный
unleaded	?:неэтили́рованный
unlearn	?:оту́чиваться
unleash	?:вы́пустить
unleashed	?:поводок
unleavened	?:пре́сный
unless	?:[[е́сли]] не
unlicensed	?:нелицензионный
unlike	?:в отли́чие от
unlikely	?:маловероя́тный
unlimited	?:безграни́чный
unlink	?:отсоединить
unload	?:разгружа́ть
unlock	?:отпира́ть
unlocked	?:неза́пертый
unlucky	?:недо́брый
unmanageable	?:неуправля́емый
unmanned	?:беспило́тный
unmarried	?:нежена́тый
unmeet	?:неподходя́щий
unmissable	?:беспроигрышный
unmotivated	?:немотивированный
unnamed	?:безымя́нный
unnatural	?:неесте́ственный
unnavigable	?:несудохо́дный
unnavigably	?:несудохо́дно
unnecessary	?:нену́жный
unneeded	?:нену́жный
unnerve	?:огорчать
unnie	?:о́нни
unnoticed	?:незаме́ченный
uno	?:У́но
unobjective	?:необъекти́вный
unobtainable	?:недостижи́мый
unobtainium	?:анобта́ниум
unobtrusive	?:ненавя́зчивый
unobtrusively	?:ненавязчиво
unofficial	?:неофициальный
unorthodox	?:неортодоксальный
unpack	?:распако́вывать
unpaid	?:неопла́ченный
unpalatable	?:невку́сный
unparalleled	?:беспримерный
unpardonable	?:непростительный
unpatriotic	?:непатриоти́чный
unpayable	?:неоплатный
unpleasant	?:неприя́тный
unpleasantness	?:неприя́тность
unplug	?:отключа́ть
unpopular	?:непопуля́рный
unpopularity	?:непопуля́рность
unprecedented	?:беспрецедентный
unprecedentedly	?:беспрецеде́нтно
unprecedentedness	?:беспрецеде́нтность
unpredictability	?:непредсказу́емость
unpredictable	?:непредсказу́емый
unprejudiced	?:непредвзя́тый
unpremeditated	?:непреднаме́ренный
unprepared	?:неподгото́вленный
unpreparedness	?:негото́вность
unpretentious	?:неприхотли́вый
unprincipled	?:беспринци́пный
unprocessed	?:необрабо́танный
unproductive	?:непродукти́вный
unprofitable	?:беспри́быльный
unpronounceable	?:непроизноси́мый
unprovable	?:недоказуемый
unprovoked	?:неспровоци́рованный
unpublished	?:неи́зданный
unpunished	?:безнака́занный
unqualified	?:неквалифицированный
unquestionably	?:бесспо́рно
unquote	?:коне́ц цита́ты
unravel	?:распу́тать
unreachable	?:недостижи́мый
unreadability	?:нечита́бельность
unreadable	?:нечита́бельный
unreal	?:ненастоя́щий
unrealistic	?:нереа́льный
unrealizable	?:неосуществи́мый
unreasonable	?:неразу́мный
unrecognizable	?:неузнава́емый
unrecognized	?:непри́знанный
unrefined	?:необрабо́танный
unreliability	?:ненадёжность
unreliable	?:ненадёжный
unreliably	?:ненадёжно
unremarkable	?:непримеча́тельный
unremitting	?:беспреста́нный
unrequited	?:безотве́тный
unrest	?:волнение
unrestrained	?:безу́держный
unrestraint	?:несде́ржанность
unrestricted	?:неограни́ченный
unripe	?:зелёный
unripeness	?:незре́лость
unrivaled	?:непревзойдённый
unruly	?:неконтроли́руемый
unsafe	?:опасный
unsafely	?:небезопа́сно
unsalted	?:несолёный
unsanitary	?:антисанита́рный
unsatisfactory	?:неудовлетвори́тельный
unsaturated	?:ненасы́щенный
unsaturation	?:ненасы́щенность
unscientific	?:ненау́чный
unscramble	?:расшифро́вывать
unscrupulous	?:беспринци́пный
unseal	?:распеча́тать
unsee	?:разви́деть
unseemly	?:неуместный
unseen	?:неви́димый
unselfish	?:бескоры́стный
unserious	?:несерьёзный
unsettling	?:тревожащий
unshaven	?:небри́тый
unsheathe	?:обнажи́ть
unshorn	?:неподстриженный
unsightly	?:непригля́дный
unsigned	?:беззна́ковый
unsinkable	?:непотопляемый
unsittable	?:неусаживаемый
unskillful	?:неиску́сный
unsolicited	?:непрошеный
unsophisticated	?:бесхи́тростный
unsoundness	?:несостоя́тельность
unspeakable	?:неопису́емый
unspoken	?:невы́раженный
unsportsmanlike	?:неспорти́вный
unstable	?:неусто́йчивый
unsteadiness	?:неусто́йчивость
unsteady	?:зы́бкий
unsterilizable	?:нестерилизу́емый
unstinted	?:безграни́чный
unstitch	?:пороть
unstoppable	?:неостановимый
unstressed	?:безуда́рный
unsubscribe	?:отписаться
unsubscription	?:отпи́ска
unsubstantiated	?:бездоказа́тельный
unsuccessful	?:безуспе́шный
unsuccessfully	?:безуспе́шно
unsuitable	?:неподходя́щий
unsung	?:невоспетый
unsupported	?:неподде́рживаемый
unsure	?:неуве́ренный
unsurpassed	?:непревзойдённый
unsurprising	?:неудиви́тельный
unsurprisingly	?:неудиви́тельно
unsweetened	?:неподслащенный
untalented	?:нетала́нтливый
untamed	?:ди́кий
untarnished	?:незапятнанный
untenable	?:несостоя́тельный
unthinkable	?:немы́слимый
unthinking	?:безду́мный
unthinkingly	?:безду́мно
untidiness	?:беспоря́док
untidy	?:неаккура́тный
untie	?:развя́зывать
until	?:до
untimely	?:несвоевре́менный
untitled	?:безымя́нный
untouchable	?:неприкаса́емый
untouched	?:нетро́нутый
untrammeled	?:беспрепя́тственный
untranslatability	?:непереводи́мость
untranslatable	?:непереводи́мый
untrustworthy	?:ненадёжный
untruth	?:непра́вда
untune	?:расстроить
ununbium	?:уну́нбий
ununennium	?:унунэ́нний
ununhexium	?:унунге́ксий
ununoctium	?:унуно́ктий
ununpentium	?:унунпе́нтий
ununquadium	?:унунква́дий
ununseptium	?:унунсе́птий
ununtrium	?:уну́нтрий
unununium	?:унунуний
unused	?:неиспо́льзованный
unusual	?:необы́чный
unusually	?:необы́чно
unutterable	?:невырази́мо
unvarying	?:однообра́зный
unveil	?:разоблача́ть
unveiling	?:откры́тие
unwanted	?:нежела́емый
unwavering	?:непреклонный
unwell	?:нездоро́вый
unwholesome	?:нездоровый
unwieldiness	?:гру́зность
unwieldy	?:неудобный
unwilling	?:неохо́тный
unwillingly	?:неохо́тно
unwillingness	?:нежела́ние
unwind	?:расслабляться
unwinnable	?:заведомо проигрышную
unwise	?:неразу́мный
unwonted	?:необы́чный
unworkable	?:несбы́точный
unworthy	?:недосто́йный
unwrap	?:разверну́ть
unwritten	?:непи́саный
unwrought	?:необрабо́танный
unyieldingness	?:упо́рство
up	?:вве́рх
up-to-date	?:актуа́льный
upanishad	?:Упаниша́ды
upas	?:анча́р
upbeat	?:быстрый
upbraid	?:упрекать
upbringing	?:воспита́ние
upchuck	?:блева́ть
upcoming	?:наступа́ющий
update	?:актуализировать
upend	?:положить конец
upfront	?:прямолинейно
upgrade	?:обновить
upheaval	?:бунт
uphill	?:гора
uphold	?:поднима́ть
upholster	?:оби́ть
upholsterer	?:драпиро́вщик
upholstery	?:оби́вка
upkeep	?:проводить техническое обслуживание
upland	?:возвы́шенность
uplift	?:ободрять
upload	?:загру́зка
upon	?:на
upper	?:ве́рхний
uppercase	?:большо́й
upperclassman	?:старшекла́ссник
uppercut	?:апперко́т
uppermost	?:вы́сший
uppity	?:высокоме́рный
uppsala	?:У́ппсала
upright	?:вертикальный
uprising	?:бунт
uproar	?:шум
upset	?:огорчённый
upshot	?:вывод
upside	?:рост
upsilon	?:и́псилон
upstage	?:затмевать
upstairs	?:вверх
upstart	?:вы́скочка
upstate	?:северная часть штата
upstream	?:вверх по течению
uptick	?:рост
uptight	?:напряженный
upvote	?:апвоутить
upward	?:вверх
upwards	?:вверх
uqaylid	?:укайли́дский
uqturpan	?:Учтурфан
ur-	?:пра-
uracil	?:ураци́л
ural	?:Ура́л
uralic	?:уральские
urania	?:Ура́ния
uranist	?:урани́ст
uranium	?:уран
urano-	?:урано-
uranocentric	?:ураноцентрический
uranus	?:Уран
urartian	?:ура́ртский
urartu	?:Ура́рту
urban	?:городской
urbane	?:ве́жливый
urbanism	?:урбани́зм
urbanite	?:горожа́нин
urbanization	?:урбанизация
urbanize	?:урбанизи́ровать
urbanonym	?:урбаноним
urbech	?:урбе́ч
urchin	?:баловни́к
urdu	?:урду
ure	?:у́ра
urea	?:мочевина
uremia	?:уреми́я
ureter	?:мочето́чник
urethra	?:уре́тра
urfa	?:У́рфа
urform	?:прафо́рма
urge	?:жела́ние
urgench	?:Урге́нч
urgency	?:срочность
urgent	?:неотло́жный
urgently	?:спе́шно
urheimat	?:праро́дина
uriah	?:У́рия
urial	?:уриа́л
uriel	?:Уриил
urinal	?:писсуар
urinary	?:мочевой
urinate	?:ссать
urination	?:мочеиспуска́ние
urine	?:моча
urmia	?:У́рмия
urn	?:у́рна
uroflowmetry	?:урофлоуме́три́я
urogomphus	?:урогомф
urolith	?:мочевой камень
urolithiasis	?:мочекаменная болезнь
urologic	?:урологи́ческий
urologist	?:уролог
urology	?:урология
urozhaynoye	?:Урожа́йное
ursine	?:медве́жий
ursula	?:Урсула
urticaria	?:крапи́вница
uruguay	?:Уругвай
uruguayan	?:уругвайский
uruk	?:Урук
urum	?:[[уру́мский]] [[язы́к]]
us	?:нас
usa	?:США
usability	?:удо́бство испо́льзования
usable	?:го́дный
usage	?:языковая практика
usaid	?:АМР США
use	?:прок
used	?:б/у
useful	?:нели́шний
usefulness	?:полезность
useless	?:бесполе́зный
uselessness	?:бесполе́зность
usenet	?:Юзне́т
user	?:наркома́н
user-friendly	?:дру́жественный для по́льзователя
userbox	?:юзербокс
username	?:логи́н
ushanka	?:ушанка
usher	?:пристав
uskudar	?:Ускюдар
usona	?:САСШ
usonian	?:шта́товский
ussr	?:СССР
ussuri	?:уссури
ussuriysk	?:Уссури́йск
ust-abakanskoye	?:Усть-Абака́нское
ust-luga	?:Усть-Лу́га
ustyluh	?:Устилу́г
usual	?:обыкнове́нный
usually	?:обы́чно
usufruct	?:узуфру́кт
usupashvili	?:Усупашви́ли
usurer	?:ростовщи́к
usuress	?:проце́нтщица
usurp	?:присвоить
usurpation	?:узурпа́ция
usurper	?:узурпатор
usury	?:процент
usv	?:БЭК
utah	?:Ю́та
ute	?:юте
utena	?:Уте́на
utensil	?:инструме́нт
uterine	?:маточный
utilise	?:испо́льзовать
utilitarian	?:утили́тный
utilitarianism	?:утилитаризм
utility	?:поле́зность
utmost	?:велича́йший
utopia	?:утопия
utopian	?:утопи́ческий
utrecht	?:Утрехт
utsunomiya	?:Уцуно́мия
uttarakhand	?:Уттаракха́нд
utter	?:по́лный
utterance	?:выска́зывание
uvarovite	?:уваровит
uvula	?:у́вула
uvular	?:увуля́рный
uxoricide	?:женоуби́йца
uxorious	?:подкаблучный
uyezd	?:пове́т
uyghur	?:уйгу́рский
uzbek	?:узбекский
uzbekistan	?:Узбекистан
uzbekistani	?:узбекиста́нский
uzhhorod	?:Ужгород
uzi	?:у́зи
uzyn	?:Узи́н
vaasa	?:Ва́аса
vacancy	?:вакансия
vacant	?:вака́нтный
vacate	?:освободи́ть
vacation	?:кани́кулы
vaccinate	?:привить
vaccination	?:вакцина́ция
vaccine	?:вакцина
vaccinium	?:вакци́ниум
vaccinologist	?:вакцино́лог
vacillate	?:кача́ться
vacillation	?:нереши́тельность
vacuole	?:вакуо́ль
vacuous	?:бессмы́сленный
vacuum	?:вакуум
vacuum-clean	?:пылесо́сить
vadodara	?:Баро́да
vaduz	?:Ваду́ц
vagabond	?:бомж
vagary	?:вы́ходка
vagharshapat	?:Вагаршапа́т
vagina	?:влага́лище
vaginal	?:вагина́льный
vaginally	?:вагина́льно
vaginismus	?:вагини́зм
vaginitis	?:вагинит
vaginoplasty	?:вагинопла́стика
vaginosis	?:вагино́з
vagotomy	?:ваготоми́я
vagrancy	?:бродяжничество
vagrant	?:бомж
vague	?:неопределённый
vagueness	?:неопределённость
vahagn	?:Ваа́гн
vai	?:ваи
vain	?:показно́й
vainglorious	?:тщесла́вный
vainglory	?:спесь
vainly	?:зря
vair	?:бе́личий мех
vaisheshika	?:Вайшешика
vajra	?:ва́джра
vakh	?:Вах
vakhrusheve	?:Ва́хрушево
valance	?:сваг
valdosta	?:Валдоста
valedictorian	?:отличник
valedictory	?:проща́льный
valence	?:Вала́нс
valencia	?:Валенсия
valencian	?:валенсийский
valenki	?:ва́ленки
valens	?:Вале́нт
valentina	?:Валенти́на
valentine	?:Валентин
valentinian	?:Валентиниа́н
valenzuela	?:Валенсуэ́ла
valeria	?:Вале́рия
valerian	?:Валериа́н
valerie	?:Валерия
valerius	?:Вале́рий
valet	?:денщи́к
valet-de-chambre	?:камерди́нер
valhalla	?:Валга́лла
valiance	?:до́блесть
valiant	?:до́блестный
valid	?:действительный
validate	?:ратифици́ровать
validation	?:ратифика́ция
validity	?:го́дность
valine	?:валин
valkeakoski	?:Валкеакоски
valky	?:Ва́лки
valkyrie	?:валькирия
valletta	?:Валле́тта
valley	?:долина
valour	?:до́блесть
valozhyn	?:Воло́жин
valuable	?:ценный
value	?:це́нность
valve	?:клапан
valyrian	?:валири́йский
vambrace	?:наручи
vamp	?:вамп
vampire	?:вампир
vampiress	?:вампи́рша
vampiric	?:вампи́рский
van	?:Ван
vanadinite	?:ванадинит
vanadium	?:ванадий
vanadzor	?:Ванадзо́р
vancouver	?:Ванкувер
vandal	?:вандал
vandalic	?:ванда́льский
vandalise	?:разру́шить
vandalism	?:вандализм
vane	?:стабилизатор
vanessa	?:Ване́сса
vanguard	?:авангард
vanilla	?:ваниль
vanillin	?:ванили́н
vanir	?:[[ван|ва́ны]]
vanish	?:исчеза́ть
vanity	?:бесполе́зность
vanquish	?:победи́ть
vantaa	?:Ва́нтаа
vantage	?:превосхо́дство
vanuatu	?:Вануату
vanuatuan	?:вануатский
vape	?:па́рить
vaper	?:вейпер
vapid	?:безвку́сный
vapor	?:газ
vaporize	?:испари́ть
vaporizer	?:испари́тель
vaquita	?:калифорни́йская морска́я свинья́
varanasi	?:Банарас
varangian	?:варяг
varash	?:Вара́ш
vardapet	?:вардапет
vardenis	?:Вардени́с
varenye	?:варе́нье
varenyky	?:варе́ник
variable	?:переменная
variadic	?:принимающий переменное число́ параметров
variance	?:расхожде́ние
variant	?:вариант
variation	?:варьи́рование
varicolored	?:разноцве́тный
variegated	?:пёстрый
variety	?:вид
variola	?:о́спа
various	?:ра́зный
varlet	?:паж
varletry	?:сбро́д
varmint	?:вредитель
varna	?:варна
varnish	?:лак
varsovian	?:варша́вский
varuna	?:Вару́на
varus	?:Вар
varuzhan	?:Варужа́н
vasant	?:Васант
vascular	?:васкуля́рный
vasculature	?:[[сосу́дистая]] сеть
vasculitis	?:васкулит
vase	?:ваза
vasectomy	?:вазэктоми́я
vaseline	?:вазели́н
vashkivtsi	?:Ва́шковцы
vasilevsky	?:Василе́вский
vasilievichy	?:Василе́вичи
vasily	?:Васи́лий
vasmer	?:Фа́смер
vasoconstriction	?:вазоконстрикция
vasodilation	?:вазодилатация
vasotonic	?:вазотони́ческий
vassal	?:васса́л
vast	?:обши́рный
vasylivka	?:Васи́льевка
vasylkiv	?:Василько́в
vasyugan	?:Васюга́н
vat	?:чан
vatican	?:Ватикан
vaticanian	?:ватика́нец
vaticanology	?:ватиканология
vatnik	?:ва́тник
vatrushka	?:ватру́шка
vatutine	?:Вату́тино
vaudeville	?:варьете́
vault	?:свод
vaunt	?:хвастовство́
vaunted	?:имени́тый
vav	?:вав
vawkavysk	?:Волковы́ск
vayu	?:Вайю́
veal	?:телятина
veche	?:вече
vector	?:курс
vectorial	?:ве́кторный
veda	?:Ве́ды
vedic	?:ведический
vee	?:ви
veer	?:поворо́т
veery	?:бу́рый вертля́вый дрозд
vega	?:Ве́га
vegan	?:ве́ганский
veganarchism	?:веганархизм
veganism	?:ве́ганство
vegetable	?:овощной
vegetal	?:расти́тельный
vegetarian	?:вегетарианец
vegetarianism	?:вегетарианство
vegetate	?:прозяба́ть
vegetation	?:растительность
vehemence	?:неи́стовство
vehement	?:неи́стовый
vehemently	?:рьяно
vehicle	?:транспортное средство
veil	?:заве́са
veiled	?:завуали́рованный
vein	?:стиль
vela	?:Паруса
velar	?:веля́рный
velarize	?:веляризовать
velcro	?:застёжка-липу́чка
veld	?:велд
veles	?:Ве́лес
velleity	?:мечта́
vellicate	?:подёргиваться
vellum	?:веле́нь
velocipede	?:велосипе́д
velociraptor	?:велоцира́птор
velocity	?:скорость
velodrome	?:велодром
velour	?:велю́р
velvet	?:пух
velveteen	?:плис
velvety	?:бархати́стый
venal	?:прода́жный
venality	?:прода́жность
venda	?:венда
vendace	?:ряпушка
vendean	?:ванде́йский
vendetta	?:венде́тта
vendor	?:ве́ндор
vendée	?:Ванде́я
vendémiaire	?:вандемье́р
venedikt	?:Венеди́кт
veneer	?:налёт
venerable	?:милостивый
venerate	?:почита́ть
veneration	?:почита́ние
venereal	?:венери́ческий
venereologist	?:венеро́лог
venereology	?:венероло́гия
venetian	?:венецианский
venetic	?:вене́тский
veneto	?:Венето
venezuela	?:Венесуэла
venezuelan	?:венесуэльский
vengeance	?:месть
vengeful	?:мсти́тельный
veniamin	?:Вениами́н
venice	?:Венеция
venison	?:олени́на
venom	?:яд
venomous	?:злой
venous	?:ве́нный
vent	?:отду́шина
ventilation	?:вентиляция
ventilator	?:вентиля́тор
ventimiglia	?:Вентими́лья
ventral	?:брюшной
ventricle	?:желудочек
ventricular	?:желудочковый
ventriloquism	?:чревовеща́ние
ventriloquist	?:чревовеща́тель
ventripotent	?:пузатый
ventspils	?:Ве́нтспилс
venture	?:авантю́ра
ventôse	?:ванто́з
venue	?:ме́сто встре́чи
venule	?:венула
venus	?:Венера
venusian	?:венериа́нский
venusquake	?:венеротрясение
veps	?:ве́псский язы́к
vera	?:Ве́ра
veracity	?:правди́вость
veracruz	?:Веракру́с
veranda	?:вера́нда
verb	?:глагол
verbal	?:верба́льный
verbatim	?:досло́вный
verben	?:Вербень
verbena	?:вербе́на
verbiage	?:многосло́вие
verbose	?:многосло́вный
verbosity	?:многословность
vercingetorix	?:Верцинге́ториг
verdant	?:зелёный
verdict	?:верди́кт
verdigris	?:медя́нка
verdure	?:зе́лень
vereeniging	?:Фери́нихинг
verenchanka	?:Веренча́нка
verge	?:край
verification	?:верифика́ция
verificationism	?:верификационизм
verify	?:дока́зывать
verily	?:и́стинно
verisimilitude	?:правдоподо́бие
verjuice	?:вержу́с
verkhivtseve	?:Верхо́вцево
verkhnodniprovsk	?:Верхнеднепро́вск
verkhovyna	?:Верхови́на
verkhoyansk	?:Верхоянск
verlan	?:верла́н
vermicelli	?:вермише́ль
vermilion	?:а́лый
vermin	?:гад
vermont	?:Вермонт
vermouth	?:вермут
vernacular	?:ме́стный
vernal	?:весе́нний
vernalization	?:яровизация
verne	?:Верн
vernissage	?:верниса́ж
verona	?:Верона
veronal	?:верона́л
veronica	?:Вероника
vers	?:универсал
versaillais	?:верса́льский
versailles	?:Версаль
versatile	?:разносторо́нний
versatility	?:многосторонность
verse	?:стих
vershok	?:вершо́к
version	?:версия
verso	?:реверс
verst	?:верста
versus	?:про́тив
vert	?:зелёный
vertebra	?:позвонок
vertebral	?:позвоно́чный
vertebrate	?:позвоно́чный
vertex	?:верши́на
vertical	?:вертикальный
vertically	?:вертика́льно
verticordia	?:вертико́рдия
vertigo	?:головокруже́ние
vervain	?:вербе́на
verve	?:вдохновение
very	?:са́мый
vesicant	?:везикант
vesna	?:Весна
vespasian	?:Веспасиа́н
vespiary	?:оси́ное гнездо́
vespid	?:настоя́щая оса́
vessel	?:сосуд
vest	?:безрука́вка
vesta	?:Ве́ста
vestal	?:посвящённый
vestibular	?:вестибулярный
vestibule	?:вестибю́ль
vestige	?:след
vestment	?:облаче́ние
vestry	?:ри́зница
vesuvius	?:Везувий
vet	?:вет
vetch	?:ви́ка
veteran	?:ветеран
veterinarian	?:ветерина́р
veterinary	?:ветеринарный
vetero-testamentary	?:ветхозаве́тный
vetiver	?:ветивер
vetka	?:Ве́тка
veto	?:ве́то
vetreno	?:Ве́трено
vex	?:волнова́ть
vexation	?:раздражение
vexatious	?:раздража́ющий
vexillology	?:вексиллоло́гия
via	?:по
viability	?:жизнеспосо́бность
viable	?:возмо́жный
viaduct	?:виадук
viagra	?:Виа́гра
vial	?:пузырёк
viand	?:блю́до
viands	?:прови́зия
vibe	?:а́ура
vibrant	?:живо́й
vibraphone	?:вибрафо́н
vibrate	?:вибрировать
vibration	?:вибра́ция
vibrato	?:вибра́то
vibrator	?:вибратор
vibratory	?:вибрацио́нный
vibroscope	?:виброскоп
viburnum	?:кали́на
vicar	?:вика́рий
vicarage	?:дом священника
vicarious	?:замещающий
vice	?:порок
vice-	?:вице-
vice-chancellor	?:проре́ктор
vice-presidency	?:вице-президе́нтство
vicenza	?:Виче́нца
viceroy	?:вице-коро́ль
vicinity	?:бли́зость
vicious	?:злой
vicissitude	?:сме́на
vico	?:Вико
victim	?:жертва
victimology	?:виктимология
victor	?:Виктор
victoria	?:Виктория
victorious	?:победный
victoriously	?:побе́дно
victoriousness	?:триумфа́льность
victory	?:победа
victual	?:съестно́е
vicuna	?:вику́нья
video	?:видео
video-	?:видео-
videoblog	?:видеобло́г
videocassette	?:видеокассе́та
videodisc	?:видеоди́ск
videotape	?:видеоле́нта
vidzeme	?:Ви́дземе
vie	?:сопе́рничать
vienna	?:Вена
viennese	?:венский
viennois	?:Вьеннуа́
vientiane	?:Вьентья́н
vierchniadzvinsk	?:Верхнедви́нск
vietcong	?:Вьетко́нг
vietnam	?:Вьетнам
vietnamese	?:вьетнамский
view	?:вид
viewer	?:зри́тель
viewership	?:телезрители
viewfinder	?:видоиска́тель
vigesimal	?:двадцатичная систе́ма
vigil	?:бде́ние
vigilance	?:бдительность
vigilant	?:бди́тельный
vigilante	?:виджила́нте
vigintillion	?:вигинтиллио́н
vignette	?:винье́тка
vigorous	?:си́льный
vigorously	?:энерги́чно
vigour	?:си́ла
vijayadashami	?:Виджаяда́шами
viking	?:викинг
vila	?:вила
vilayet	?:велая́т
vile	?:гну́сный
vileness	?:ме́рзость
vileyka	?:Виле́йка
vilify	?:очерня́ть
vilipend	?:презира́ть
villa	?:ви́лла
village	?:весь
villager	?:селя́нин
villain	?:злоде́й
villainess	?:злоде́йка
villainous	?:злой
villancico	?:вильянси́ко
villein	?:вилла́н
vilnian	?:ви́льнюсский
vilniansk	?:Вольня́нск
vilnius	?:Вильнюс
vilnohirsk	?:Вольногорск
vim	?:мо́щь
vinaigrette	?:[[со́ус]] [[винегре́т]]
vinaya	?:вина́я
vincent	?:Вике́нтий
vindicate	?:опра́вдывать
vindication	?:виндика́ция
vindictive	?:мсти́тельный
vindictiveness	?:мсти́тельность
vineet	?:Винит
vinegar	?:уксус
vinegaroon	?:телифо́н
vinegret	?:винегре́т
vineyard	?:виноградник
vinica	?:Ви́ница
vinnytsia	?:Ви́нница
vinok	?:венок
vinous	?:винно-кра́сный
vintage	?:год
vintner	?:виноторго́вец
vinyl	?:вини́л
viol	?:вио́ла
viola	?:альт
violate	?:изнасиловать
violation	?:наруше́ние
violence	?:насилие
violent	?:неи́стовый
violet	?:фиолетовый
violin	?:скрипка
violinist	?:скрипа́ч
vip	?:VIP
viper	?:гадюка
virago	?:бо́й-ба́ба
viral	?:вирусный
virama	?:вира́ма
virbalis	?:Вержболо́в
vireo	?:ви́реон
virgil	?:Верги́лий
virgin	?:Де́ва
virginal	?:де́вственный
virginia	?:Вирджиния
virginity	?:де́вственность
virgo	?:Дева
virile	?:вири́льный
virility	?:му́жественность
virologist	?:вирусо́лог
virology	?:вирусология
virtual	?:виртуальный
virtually	?:практически
virtue	?:добродетель
virtuosity	?:виртуозность
virtuoso	?:виртуо́з
virtuous	?:доброде́тельный
virulence	?:вирулентность
virulent	?:заразный
virus	?:вирус
vis-à-vis	?:партнёр
visa	?:виза
visa-free	?:безви́зовый
visa-on-arrival	?:[[ви́за]] по [[прибытие|прибы́тии]]
visage	?:выраже́ние лица
visaginas	?:Ви́сагинас
visakhapatnam	?:Вишакхапатна́м
visarga	?:ви́сарга
visayas	?:Виса́йские острова́
visby	?:Ви́сбю
viscera	?:вну́тренности
visceral	?:висцеральный
viscid	?:кле́йкий
viscoelastic	?:вязкоэласти́чный
viscometer	?:вискозиме́тр
viscoplastic	?:вя̀зкопласти́чный
viscosity	?:вязкость
viscount	?:виконт
viscous	?:вя́зкий
vise	?:тиски́
viseite	?:визеи́т
vishap	?:вишап
vishnu	?:Ви́шну
visibility	?:ви́димость
visible	?:видимый
visibly	?:ви́димо
visigoth	?:вестго́т
vision	?:видение
visionary	?:вообража́емый
visit	?:посеще́ние
visitant	?:гость
visitor	?:гость
